Entry,Line,DTE,GDD,Precipitation,Seedwt,Day Length,Location,Year
1,CDC-Asterix,27,326.45,0,24.80631277,12.57,Nepal,2016
1,CDC-Asterix,26,314.7,0,24.80631277,12.57,Nepal,2016
1,CDC-Asterix,27,310.2,0,24.80631277,12.57,Nepal,2016
2,CDC-Rosie,27,324.65,0,26.88953488,12.57,Nepal,2016
2,CDC-Rosie,20,252,0,26.88953488,12.62,Nepal,2016
2,CDC-Rosie,26,301.8,0,26.88953488,12.57,Nepal,2016
3,Nov-56,27,310.2,0,37.22117202,12.57,Nepal,2016
3,Nov-56,25,291.85,0,37.22117202,12.57,Nepal,2016
3,Nov-56,21,263.75,0,37.22117202,12.62,Nepal,2016
4,CDC-Greenstar,27,324.65,0,61.81818182,12.57,Nepal,2016
4,CDC-Greenstar,32,356.9,4,61.81818182,12.52,Nepal,2016
4,CDC-Greenstar,29,344.8,0,61.81818182,12.57,Nepal,2016
5,CDC-Cherie,29,328.2,0,26.96969697,12.55,Nepal,2016
5,CDC-Cherie,29,344.8,0,26.96969697,12.57,Nepal,2016
5,CDC-Cherie,27,324.65,0,26.96969697,12.57,Nepal,2016
6,CDC-Glamis,28,336.4,0,52.02143951,12.57,Nepal,2016
6,CDC-Glamis,27,310.2,0,52.02143951,12.57,Nepal,2016
6,CDC-Glamis,25,291.85,0,52.02143951,12.57,Nepal,2016
7,CDC-Gold,17,206.55,0,26.61231884,12.62,Nepal,2016
7,CDC-Gold,11,146,0,26.61231884,12.68,Nepal,2016
7,CDC-Gold,11,134.6,0,26.61231884,12.68,Nepal,2016
8,CDC-Imax,24,281.4,0,39.92592593,12.57,Nepal,2016
8,CDC-Imax,10,133.9,0,39.92592593,12.7,Nepal,2016
8,CDC-Imax,21,250.1,0,39.92592593,12.6,Nepal,2016
9,CDC-Impower,17,217.8,0,52.72727273,12.62,Nepal,2016
9,CDC-Impower,30,337.4,0,52.72727273,12.53,Nepal,2016
9,CDC-Impower,25,291.85,0,52.72727273,12.57,Nepal,2016
10,CDC-KR-1,26,301.8,0,48.86266094,12.57,Nepal,2016
