Entry,Name,Temperate,South Asia,Middle East,Mediterranean
1,CDC Asterix,0.983,0.002,0.013,0.002
2,CDC Rosie,0.948,0.001,0,0.051
3,Nov-56,0.956,0.006,0.034,0.005
4,CDC Greenstar,0.984,0,0.014,0.001
5,CDC Cherie,0.92,0.003,0.075,0.003
6,CDC Glamis,0.988,0,0.011,0
7,CDC Gold,0.932,0.001,0,0.067
8,CDC Imax,0.909,0.001,0.09,0
9,CDC Impower,0.994,0.002,0.001,0.002
10,CDC KR-1,0.932,0.002,0.066,0
11,CDC LeMay,0.994,0.003,0.001,0.003
12,CDC Maxim,0.888,0,0.112,0
13,CDC QG-1,0.991,0.004,0.002,0.002
14,CDC Red Rider,0.864,0.006,0.114,0.017
15,CDC Redcoat,0.813,0.001,0.168,0.019
16,CDC Redwing,0.63,0,0.37,0
17,CDC Robin,0.922,0,0,0.077
18,CDC Rosebud,0.934,0.002,0,0.064
19,CDC Rosetown,0.935,0.01,0.001,0.054
20,CDC Rouleau,0.944,0,0.056,0.001
21,CDC Royale,0.995,0.001,0,0.004
22,CDC Ruby,0.83,0.009,0.014,0.147
23,CDC SB-1,0.826,0.016,0.118,0.04
24,CDC Sedley,0.886,0,0.112,0.002
25,CDC Vantage,0.97,0.005,0.024,0
26,CN 105604,0.034,0.925,0.026,0.016
27,CN 105605,0.158,0.051,0.248,0.543
28,CN 105715,0.242,0,0.758,0
29,CN 105732,,,,
30,CN 105767,0.92,0.051,0.007,0.023
31,CN 105777,0.06,0.086,0.825,0.028
32,CN 105789,0,0,1,0
33,CN 105791,0.048,0.059,0.877,0.016
34,CN 105862,0.756,0.01,0.223,0.01
35,CN 105863,0.703,0.002,0.277,0.018
36,CN 105864,0.608,0.003,0.389,0
37,CN 105865,0.466,0.001,0.532,0
38,CN 105895,0,0,1,0
39,CN 106265,,,,
40,CN 108369,0.385,0,0.013,0.602
41,CN 108370,0.956,0.01,0.003,0.032
42,Crimson,0.934,0.009,0.045,0.012
43,DPL-62,0.039,0.711,0.013,0.236
44,ESTON UOFS,0.992,0,0,0.007
45,GUDO,0.433,0.009,0.553,0.005
46,IG 1046,0.09,0,0,0.91
47,IG 1706,0.141,0.121,0.02,0.718
48,IG 1959,0.005,0.008,0.005,0.983
49,IG 4258,,,,
50,IG 4781,0.454,0.001,0.545,0
51,IG 858,0.923,0.019,0.005,0.053
52,ILL 10657,0.24,0.001,0.759,0.001
53,ILL 10748,0.522,0,0.477,0
54,ILL 11547,0.441,0.029,0.53,0
55,ILL 11548,0.287,0,0.712,0
56,ILL 11553,0.014,0.956,0.02,0.01
57,ILL 11555,0.118,0.554,0.327,0.001
58,ILL 11557,0.091,0.677,0.021,0.21
59,ILL 11558,0.012,0.842,0.004,0.141
60,ILL 1220,0.242,0.018,0.005,0.734
61,ILL 1553,0.098,0,0.001,0.901
62,ILL 1762,0.008,0.237,0.006,0.75
63,ILL 1983,0.006,0.993,0,0.001
64,ILL 213,0.031,0.193,0.008,0.768
65,ILL 2194,0.2,0,0.794,0.006
66,PI 431893 LSP,0.292,0.101,0,0.607
67,ILL 2507,0.01,0.973,0.012,0.005
68,ILL 2580,0.013,0.317,0.521,0.148
69,ILL 28,0.526,0,0.433,0.041
70,ILL 3025,0.015,0.977,0.007,0.001
71,ILL 313,0.958,0.023,0.011,0.008
72,ILL 3347,0.01,0.985,0.002,0.003
73,ILL 358,0.349,0.001,0.65,0
74,ILL 3597,0.091,0.903,0.001,0.006
